id,age,color,latitude,longitude,date,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
5C-PM-1010-13,Adult,Gray,40.770540931570300,-73.976324338377100,2018-10-10,Above Ground,way up a tree!,False,False,True,False,False,,False,False,False,False,False,False,False,False
15I-AM-1008-01,Adult,Gray,40.775518194155900,-73.965175446443900,2018-10-08,Above Ground,tree,False,False,True,True,False,,False,False,False,False,False,False,True,False
19B-PM-1018-01,Adult,Gray,40.781573995935700,-73.970010061760200,2018-10-18,Above Ground,,True,False,False,False,False,flying,False,False,False,False,False,False,False,False
13D-PM-1018-10,Adult,Gray,40.776238547063000,-73.971905618214000,2018-10-18,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
36I-PM-1007-10,Juvenile,Gray,40.792289617693600,-73.953004092355500,2018-10-07,Ground Plane,,False,False,False,True,False,stole (found?) an entire sandwich,False,False,False,False,False,False,True,False
41B-AM-1010-06,Adult,Gray,40.798848730021600,-73.957209376052900,2018-10-10,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
35B-AM-1010-01,Adult,Gray,40.793958106938200,-73.960774633797900,2018-10-10,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,True,False
40D-PM-1013-01,Adult,Gray,40.797392339651200,-73.956634604645300,2018-10-13,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
38B-PM-1018-02,Adult,Gray,40.796382675378000,-73.959203888767300,2018-10-18,Ground Plane,,False,False,False,False,True,burying nut,False,False,False,False,False,False,False,False
40I-AM-1018-01,Adult,Cinnamon,40.795081334590200,-73.951111871110800,2018-10-18,Ground Plane,,True,False,False,False,True,begging,False,False,False,False,False,False,False,False
7B-AM-1008-10,Adult,Gray,40.772953757303500,-73.976993979638200,2018-10-08,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
13D-AM-1014-08,Adult,Gray,40.776331039259100,-73.971252780951600,2018-10-14,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
16G-AM-1010-03,Adult,Gray,40.777262464111200,-73.967114709008700,2018-10-10,Ground Plane,,False,False,False,False,True,was hanging out w/ #2 until i showed up,True,False,False,False,False,False,False,True
40A-AM-1010-03,Adult,Gray,40.798259794751500,-73.958866025023200,2018-10-10,Ground Plane,bottom of great hill,False,False,False,True,True,,False,False,False,True,False,False,True,True
15I-PM-1012-07,Adult,Cinnamon,40.776184178802500,-73.965160154179500,2018-10-12,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
3B-PM-1007-11,Adult,Gray,40.769371179994600,-73.979215547368900,2018-10-07,Above Ground,in tree,False,False,True,False,False,,False,False,False,False,False,False,False,False
21D-AM-1008-02,Adult,Gray,40.782877889227600,-73.966410050443600,2018-10-08,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
10B-PM-1014-05,Adult,Gray,40.774846706196900,-73.974622909464300,2018-10-14,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,False,False
13E-PM-1008-07,Adult,Gray,40.776109297296500,-73.970509295889200,2018-10-08,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
41A-PM-1007-06,Adult,Black,40.799770819002200,-73.958165594943700,2018-10-07,Ground Plane,,True,False,True,True,False,,False,False,False,False,False,False,False,True
2F-AM-1006-05,Adult,Gray,40.766299231757500,-73.975556078622700,2018-10-06,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
20B-AM-1007-01,Adult,Gray,40.782820808380400,-73.969643353398600,2018-10-07,Ground Plane,,False,False,False,False,True,quietly,False,False,False,False,False,False,True,False
26A-PM-1006-06,Adult,Gray,40.787896428768000,-73.966471160702200,2018-10-06,Ground Plane,Tree 90th left 90th & 89,False,False,True,False,False,,False,False,False,True,False,False,False,False
35E-PM-1006-07,Adult,Gray,40.793375526678700,-73.957594381556400,2018-10-06,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,True
11G-PM-1013-01,Adult,Gray,40.772887737797700,-73.969416811864300,2018-10-13,Above Ground,In the Woods/Brush,False,False,True,False,True,,False,False,False,False,False,False,False,True
36I-PM-1007-13,Adult,Gray,40.792580780830700,-73.952868250779400,2018-10-07,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,True,False,False
7A-AM-1006-01,Adult,Gray,40.772466503644700,-73.978241711513900,2018-10-06,Above Ground,in tree,False,False,False,False,True,,False,True,False,False,True,False,False,False
7G-PM-1018-03,Adult,Gray,40.770075080231700,-73.972144293979700,2018-10-18,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
14E-AM-1008-05,Adult,Gray,40.776988461230500,-73.969847380865000,2018-10-08,Above Ground,,False,False,True,False,False,nest building,False,False,False,False,False,False,True,False
3D-PM-1010-03,Adult,Cinnamon,40.768483816820700,-73.976865278566400,2018-10-10,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
35D-PM-1013-09,Adult,Gray,40.793758098573000,-73.959099284142300,2018-10-13,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
7F-PM-1012-01,Adult,Gray,40.770571189797700,-73.972406398677100,2018-10-12,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
18G-PM-1013-01,Adult,Gray,40.778787256117700,-73.966136131067700,2018-10-13,Ground Plane,,False,False,False,True,True,burying,False,False,False,False,False,False,False,True
6F-PM-1008-01,Adult,Gray,40.770130421194400,-73.973075060121200,2018-10-08,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,False,False
9F-AM-1013-04,Adult,Gray,40.772086812454400,-73.971970670614000,2018-10-13,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
38E-AM-1010-09,Adult,Gray,40.795104437820700,-73.956211745510000,2018-10-10,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
33G-AM-1013-02,Adult,Gray,40.790542354615500,-73.956402362661900,2018-10-13,Above Ground,shelter in hole in tree,False,False,True,False,False,,False,False,False,False,False,False,True,True
39G-AM-1018-01,Adult,Gray,40.795247554804800,-73.953262012830700,2018-10-18,Ground Plane,,False,False,False,False,False,dead (something ran over it),False,False,False,False,False,False,False,False
32G-PM-1013-03,Juvenile,Gray,40.790440991243700,-73.957634932135700,2018-10-13,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
4D-PM-1008-11,Adult,Cinnamon,40.768635109715900,-73.976343082934200,2018-10-08,Above Ground,on tree facing downward,False,True,False,False,False,chased #12,True,False,False,True,False,False,False,True
6H-AM-1008-01,Adult,Cinnamon,40.769488664519400,-73.971478913675700,2018-10-08,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False
5E-AM-1008-08,Adult,Gray,40.769788343598100,-73.975513371066500,2018-10-08,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
15D-PM-1017-01,Adult,Gray,40.777329541910400,-73.970234898280300,2018-10-17,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
16E-AM-1014-03,Adult,Gray,40.778165842486600,-73.968605608529700,2018-10-14,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False
39H-PM-1013-02,Juvenile,Gray,40.794959848668300,-73.952214236038800,2018-10-13,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
39C-PM-1006-02,Adult,Gray,40.797275187744700,-73.957658999749300,2018-10-06,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
31A-AM-1010-04,Adult,Gray,40.791570044687800,-73.963794687873500,2018-10-10,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,False,False
9F-PM-1014-02,Adult,Gray,40.772388972664700,-73.971099112399200,2018-10-14,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
21G-PM-1007-02,Adult,Gray,40.781045006523500,-73.963827033133600,2018-10-07,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,False,True
2F-AM-1006-01,Adult,Gray,40.767009032773600,-73.975601500582100,2018-10-06,Ground Plane,walking along path,False,False,False,False,True,,False,False,False,False,True,False,True,False
20F-PM-1007-01,Adult,Gray,40.780918776199500,-73.964963255082800,2018-10-07,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,True,False
35E-PM-1006-01,Adult,Gray,40.793152905977900,-73.957219204335000,2018-10-06,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,False
9G-AM-1007-04,Adult,Gray,40.771453484737900,-73.971230886439400,2018-10-07,Above Ground,,False,False,False,False,False,grooming,False,False,False,False,False,False,True,False
5D-PM-1018-03,Adult,Gray,40.770167158193900,-73.975867614425500,2018-10-18,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
14F-PM-1012-06,Adult,Cinnamon,40.776635622697900,-73.969058856545000,2018-10-12,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,True,False
23F-AM-1018-01,Adult,Cinnamon,40.783405171622600,-73.963846339804000,2018-10-18,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False
